transaction_date,symbol,trade_type,number_shares,price,cash_after_trade,headline,pred_impact,impact_score
2015-01-05,MDT,0,1,55.21,99944.79,['Oppenheimer Sees Upside Surprise This Earnings Season'],3,0
2015-01-05,KR,0,1,25.78,99919.01,['Morgan Stanley Sees Avago Technologies Q1 Beat; New Markets For Sensata Technologies?'],3,0
2015-01-05,XLU,0,1,33.62,99885.39,"['Avago Technologies to Acquire Emulex Corporation for $8/Share In Cash'
 'Avago Technologies Reports Q1 Adj. EPS $2.09 vs $1.94 Est., Sales $1.66B'
 ""Benzinga's M&A Chatter for Wednesday February 25, 2015""
 'Notable Earnings After The Close: LB, AVGO, RIG, CRM'
 'Earnings Scheduled For February 25, 2015'
 'Option Alert: Avago Apr $115 Call; 1000 Contract Trade at Ask @ $5.20']",3,0
2015-01-05,GILD,0,1,66.61,99818.78,"[""Thursday's #PreMarket Movers: Salesforce, Gogo And Frontline Move Higher Following Earnings""
 'Morning Market Gainers'
 'Credit Suisse Reiterates Outperform, Raises Price Target On Avago Technologies On Expected Further Stability'
 'Stocks Hitting 52-Week Highs']",3,0
2015-01-05,SLB,0,1,62.46,99756.31999999999,"['Avago Sought Freescale Acquisition, Still Seeking Large Deal, According to Sources -Reuters'
 ""Benzinga's M&A Chatter for Wednesday March 4, 2015""]",3,0
2015-01-05,AVGO,0,1,7.57,99748.74999999999,['Analyst: 3 Chip Makers Put More Gear In Latest Samsung Phone'],3,0
2015-01-05,JD,0,1,21.8,99726.94999999998,"['DA Davidson Upgrades Avago Technologies to Buy, Raises PT to $150.00'
 'Option Alert: Avago Apr $130 Call; 1622 Contract Trade Above Ask @ $3.94; Now $127.74'
 '1 Wall Street Analyst Is Watching 5 Tech Stocks Post-Mobile World Congress']",3,0
2015-01-06,JD,0,1,22.32,99704.62999999998,['These Analysts Spoke With Chinese Handset Suppliers...And Found 3 Things'],3,0
2015-01-06,GILD,0,1,68.86,99635.76999999997,"[""MKM Comments On Semiconductors, Says This Is Still The 'Golden Age' Of Radio Frequency""]",3,0
2015-01-06,SLB,0,1,61.38,99574.38999999997,['Semiconductor Investors: Check Out This Morgan Stanley Survey'],3,0
2015-01-06,XLU,0,1,33.11,99541.27999999997,['Option Alert: Avago Apr $125 Call; 1500 Contract Trade at Ask @$1.45'],3,0
